timestamp,thermistor,max_temp,min_temp
1770075541.379785,23.25,30.25,20.75
1770075542.29288,23.19,30.5,20.75
1770075543.314009,23.25,31.0,21.0
1770075544.394576,23.25,30.25,20.75
1770075545.356643,23.25,30.5,21.0
1770075546.395524,23.25,31.5,21.75
1770075547.394266,23.25,31.0,21.25
1770075548.409921,23.25,31.75,21.75
1770075549.433321,23.31,31.5,21.25
1770075550.44948,23.38,31.25,21.5
1770075551.468123,23.38,30.25,20.75
1770075552.586978,23.38,30.75,23.5
1770075553.507031,23.38,29.75,23.25
1770075554.526086,23.44,29.75,23.75
1770075555.543238,23.44,29.75,23.5
1770075556.561915,23.5,29.75,22.75
1770075557.705642,23.5,29.5,23.0
1770075558.760106,23.56,29.25,22.75
1770075559.628681,23.62,29.25,22.0
1770075560.648433,23.69,28.75,22.25
1770075561.662727,23.69,29.0,22.0
1770075562.724707,23.75,29.0,22.0
1770075563.703,23.75,29.25,21.5
1770075564.720017,23.81,28.5,22.0
1770075565.742891,23.81,28.25,21.5
1770075566.820048,23.87,28.75,21.25
1770075567.779707,23.87,28.75,21.25
1770075568.80877,23.94,28.5,22.0
1770075569.817177,23.94,28.25,21.25
1770075570.837157,24.0,28.75,22.0
1770075572.034702,24.06,25.5,17.25
1770075572.962476,24.06,27.25,16.5
1770075574.139408,24.06,27.25,16.75
1770075574.900279,24.12,27.25,17.5
1770075575.923092,24.12,27.75,17.75
1770075576.944737,24.12,28.0,18.0
1770075577.949542,24.12,27.5,18.75
1770075579.004392,24.12,27.75,18.25
1770075579.983469,24.12,28.0,18.5
1770075580.998537,24.12,28.25,19.0
1770075582.023997,24.12,28.5,19.5
1770075583.039464,24.12,29.0,19.75
1770075584.047409,24.12,29.0,20.0
1770075585.114004,24.12,29.5,20.25
1770075586.153998,24.12,29.5,20.0
1770075587.095341,24.06,29.5,20.75
1770075588.111922,24.12,30.0,20.25
1770075589.130973,24.12,29.75,20.75
1770075590.214154,24.12,29.75,20.5
1770075591.171747,24.12,29.5,20.25
1770075592.184034,24.12,29.75,21.25
1770075593.195121,24.12,30.25,21.25
1770075594.206289,24.12,30.0,20.75
1770075595.390175,24.12,30.0,21.0
1770075596.242797,24.12,29.75,21.0
1770075597.257869,24.12,30.25,21.0
1770075598.358856,24.06,30.0,20.5
1770075599.289793,24.12,29.75,21.0
